Link,ID,Brand Name,Product Name,Calories,Caffeine Blend,Creatine,Beta-Alanine,L-Theanine,L-Citrulline,L-Tyrosine,Taurine,Betaine,Citrulline Malate,Agmatine Sulfate,Nitrosigine,Theobromine,Huperzine A
https://dsld.od.nih.gov/label/271644,271644,'Merica Labz,Red White & Boom Fresa Lima,0,350,5000,3200,0,6000,1000,0,0,0,0,0,100,0
https://dsld.od.nih.gov/label/273702,273702,'Merica Labz,A Bomb Red White & Boom Wild Blue Yonder,0,400,5000,3200,0,6000,1000,0,0,0,0,0,0,0
https://dsld.od.nih.gov/label/316274,316274,'Merica Labz,Red White & Boom Zero Dark Cherry,0,350,5000,3200,0,6000,1000,0,0,0,0,0,100,0
https://dsld.od.nih.gov/label/327228,327228,'Merica,Red White & Boom Cherry Bootlegger,0,100,5000,3200,0,3000,1000,0,0,0,0,0,100,0
https://dsld.od.nih.gov/label/332824,332824,'Merica,Red White & Boom Orange Man Bad,0,100,5000,3200,0,3000,1000,0,0,0,0,0,100,0
https://dsld.od.nih.gov/label/332825,332825,'Merica,Red White & Boom Sour Apple Rebellion,0,100,5000,3200,0,3000,1000,0,0,0,0,0,100,0
https://dsld.od.nih.gov/label/332826,332826,'Merica,Red White & Boom Teddy's Grape Melons,0,100,5000,3200,0,3000,1000,0,0,0,0,0,100,0
https://dsld.od.nih.gov/label/333687,333687,FINAFLEX,WRN Pre-Workout Fruit Punch,0,400,5000,3200,0,0,0,0,2000,6000,0,0,100,0
https://dsld.od.nih.gov/label/333688,333688,FINAFLEX,WRN Pre-Workout Lemonade,0,400,5000,3200,0,0,0,0,2000,6000,0,0,100,0
https://dsld.od.nih.gov/label/333689,333689,FINAFLEX,WRN Pre-Workout Strawberry Kiwi,0,400,5000,3200,0,0,0,0,2000,6000,0,0,100,0
https://dsld.od.nih.gov/label/236772,236772,Centurion Labz,God of Rage Reloaded Blue Raspberry Lemonade,0,250,3000,3200,0,0,0,500,0,4000,0,0,150,0.1
https://dsld.od.nih.gov/label/257412,257412,Jacked Factory JF,Altius Mixed Berry,5,325,3000,3200,0,0,0,0,0,8000,0,0,0,0
https://dsld.od.nih.gov/label/277300,277300,PMD,Ultra Pump Fuel v.5 Rockin' Rainbow Sherbet,60,0,3000,3200,0,0,100,-1,2500,6000,0,0,0,0.1
https://dsld.od.nih.gov/label/277304,277304,PMD,Ultra Pump Fuel v.5 Island Punch,60,200,3000,3200,0,0,-1,-1,2500,6000,0,0,0,0.1
https://dsld.od.nih.gov/label/321831,321831,PMD,Ultra Pump Fuel Insanity v.5 Cherry Bombsicle,50,325,3000,3200,0,0,-1,-1,2500,6000,0,500,0,0.1
https://dsld.od.nih.gov/label/333863,333863,PMD,Ultra Pump Fuel v.5 Insanity Artic Blue Blast,50,325,3000,3200,0,0,-1,-1,2500,6000,0,500,0,0.1
https://dsld.od.nih.gov/label/333865,333865,PMD,Ultra Pump Fuel v.5 Insanity Tropical Orange Mango,50,325,3000,3200,0,0,-1,-1,2500,6000,0,500,0,0.1
https://dsld.od.nih.gov/label/217131,217131,iSatori,Morph Xtreme Bombsicle,25,350,2500,3200,0,0,-1,2000,1500,7000,0,0,0,0
https://dsld.od.nih.gov/label/217150,217150,iSatori,Morph Xtreme Orange Mango Mania,25,350,2500,3200,0,0,-1,2000,1500,7000,0,0,0,0
https://dsld.od.nih.gov/label/209902,209902,Chaos and Pain,Cannibal Ferox Carny Candy,0,450,2000,3200,0,0,500,0,1500,4000,0,0,0,0.2
https://dsld.od.nih.gov/label/277302,277302,PMD,Ultra Pump Fuel v.5 Insanity Electric Pink Lemonade,50,325,1500,3200,0,0,-1,-1,2500,6000,0,500,0,0.1
https://dsld.od.nih.gov/label/277315,277315,PMD,Ultra Pump Fuel Insanity Cherry Slush,70,325,1500,3200,0,0,-1,-1,2500,6000,0,500,0,0.1
https://dsld.od.nih.gov/label/278409,278409,PMD,Ultra Pump Fuel Insanity Miami Sunrise,70,325,1500,3200,0,0,-1,-1,2500,6000,0,500,0,0.1
https://dsld.od.nih.gov/label/333864,333864,PMD,Ultra Pump Fuel v.5 Insanity Strawberry Slam,50,325,1500,3200,0,0,-1,-1,2500,6000,0,500,0,0.1
https://dsld.od.nih.gov/label/211531,211531,GymFlo,All or Nothing Sweet Green Apple,0,250,1000,3200,0,4000,0,0,0,0,500,0,150,0
https://dsld.od.nih.gov/label/261165,261165,PS ProSupps,Hyde Max Pump Blue Razz,0,0,1000,3200,0,4000,0,0,0,0,0,0,0,0
https://dsld.od.nih.gov/label/261174,261174,PS ProSupps,Hyde Max Pump Fruit Punch,0,0,1000,3200,0,4000,0,0,0,0,0,0,0,0
https://dsld.od.nih.gov/label/295373,295373,PS ProSupps,Hyde Max Pump Cherry Limeade,0,0,1000,3200,0,0,0,0,0,0,0,0,0,0
https://dsld.od.nih.gov/label/2722,2722,GNC Pro Performance,RapidDrive Pre-Workout Amino Complex Fruit Punch,5,0,0,3200,0,50,0,1000,0,0,0,0,0,0
https://dsld.od.nih.gov/label/78855,78855,Blue Star Nutraceuticals,P.P.K. Blue Raspberry,10,250,0,3200,0,0,0,0,0,0,0,0,0,0.4
https://dsld.od.nih.gov/label/78860,78860,Blue Star Nutraceuticals,P.P.K. Cream Soda,10,250,0,3200,0,0,0,0,0,0,0,0,0,0.4
https://dsld.od.nih.gov/label/78870,78870,Blue Star Nutraceuticals,P.P.K. Grape,10,250,0,3200,0,0,0,0,0,0,0,0,0,0.4
https://dsld.od.nih.gov/label/78872,78872,Blue Star Nutraceuticals,P.P.K. Pineapple Mango,10,250,0,3200,0,0,0,0,0,0,0,0,0,0.4
